IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta
1,15/02/2024,2,11,Lavadora LG 10kg,1,$2,099.99,$2,099.99
2,15/02/2024,3,12,Refrigerador Samsung 400L,1,$2,499.99,$2,499.99
3,15/02/2024,4,13,Laptop Asus i5,1,$1,299.99,$1,299.99
4,16/02/2024,1,14,Televisor 60" Smart,1,$1,999.99,$1,999.99
5,16/02/2024,2,15,Secadora Whirlpool 8kg,1,$1,599.99,$1,599.99
6,16/02/2024,5,16,Smartphone iPhone 13,1,$1,199.99,$1,199.99
7,17/02/2024,3,17,Refrigerador LG 450L,1,$2,799.99,$2,799.99
8,17/02/2024,4,18,Laptop Dell i7,1,$1,799.99,$1,799.99
9,17/02/2024,1,19,Televisor 65" 4K,1,$2,299.99,$2,299.99
10,18/02/2024,2,20,Lavadora Samsung 12kg,1,$2,399.99,$2,399.99
11,18/02/2024,3,21,Refrigerador Bosch 500L,1,$3,199.99,$3,199.99
12,18/02/2024,4,22,Laptop Acer i5,1,$1,399.99,$1,399.99
13,19/02/2024,5,23,Smartphone Xiaomi Redmi Note 11,1,$499.99,$499.99
14,19/02/2024,1,24,Televisor 75" OLED,1,$3,499.99,$3,499.99
15,19/02/2024,2,25,Lavadora LG 14kg,1,$2,699.99,$2,699.99
16,20/02/2024,3,26,Refrigerador Frigidaire 600L,1,$3,499.99,$3,499.99
17,20/02/2024,4,27,Laptop MSI i7,1,$1,999.99,$1,999.99
18,20/02/2024,5,28,Smartphone Google Pixel 6,1,$799.99,$799.99
19,21/02/2024,1,29,Televisor 85" 8K,1,$4,999.99,$4,999.99
20,21/02/2024,2,30,Secadora LG 10kg,1,$1,899.99,$1,899.99
21,21/02/2024,3,31,Refrigerador Whirlpool 700L,1,$3,999.99,$3,999.99
22,22/02/2024,4,32,Laptop Asus ROG i9,1,$2,499.99,$2,499.99
23,22/02/2024,5,33,Smartphone OnePlus 10 Pro,1,$999.99,$999.99
24,22/02/2024,1,34,Televisor 95" 8K,1,$5,999.99,$5,999.99
25,23/02/2024,2,35,Lavadora Samsung 16kg,1,$2,999.99,$2,999.99
26,23/02/2024,3,36,Refrigerador LG Instaview 600L,1,$4,499.99,$4,499.99
27,24/02/2024,4,37,Laptop Razer Blade i7,1,$2,799.99,$2,799.99
28,24/02/2024,5,38,Smartphone iPhone 14 Pro,1,$1,499.99,$1,499.99
29,24/02/2024,1,39,Televisor 110" 8K,1,$9,999.99,$9,999.99
30,25/02/2024,2,40,Secadora Bosch 12kg,1,$2,199.99,$2,199.99
31,25/02/2024,3,41,Refrigerador Whirlpool 800L,1,$4,299.99,$4,299.99
32,25/02/2024,4,42,Laptop Dell XPS i9,1,$3,099.99,$3,099.99
33,26/02/2024,5,43,Smartphone Google Pixel 7 Pro,1,$1,099.99,$1,099.99
34,26/02/2024,1,44,Televisor LG OLED 65",1,$3,799.99,$3,799.99
35,26/02/2024,2,45,Lavadora Bosch 18kg,1,$3,499.99,$3,499.99
36,27/02/2024,3,46,Refrigerador Samsung Bespoke 700L,1,$4,999.99,$4,999.99
37,27/02/2024,4,47,Laptop Alienware i7,1,$2,699.99,$2,699.99
38,27/02/2024,5,48,Smartphone Samsung Galaxy S23 Ultra,1,$1,399.99,$1,399.99
39,28/02/2024,1,49,Televisor Sony BRAVIA 85",1,$6,299.99,$6,299.99
40,28/02/2024,2,50,Secadora LG TurboWash 14kg,1,$2,499.99,$2,499.99
41,29/02/2024,3,51,Refrigerador Mabe 550L,1,$3,799.99,$3,799.99
42,29/02/2024,4,52,Laptop Lenovo Legion i9,1,$3,199.99,$3,199.99
43,29/02/2024,5,53,Smartphone Oppo Find X5 Pro,1,$999.99,$999.99
44,01/03/2024,1,54,Televisor Samsung QLED 75",1,$4,499.99,$4,499.99
45,01/03/2024,2,55,Lavadora Electrolux 20kg,1,$3,799.99,$3,799.99
46,01/03/2024,3,56,Refrigerador LG InstaView 700L,1,$5,099.99,$5,099.99
47,02/03/2024,4,57,Laptop Asus ZenBook Pro i7,1,$2,899.99,$2,899.99
48,02/03/2024,5,58,Smartphone Apple iPhone 14 Plus,1,$1,099.99,$1,099.99
49,02/03/2024,1,59,Televisor Sony X950H 85",1,$6,999.99,$6,999.99
50,03/03/2024,2,60,Secadora Samsung AI Control 12kg,1,$2,699.99,$2,699.99
